recencia_dias,frecuencia,valor_total,avg_review_score,num_categorias,avg_delivery_days,churn
173,1,116.94,3.0,1,36.0,1
417,1,54.51,5.0,1,7.0,1
83,1,54.58,1.0,1,7.0,1
13,1,27.23,5.0,1,14.0,1
285,1,27.07,5.0,1,4.0,1
316,1,77.57,5.0,1,15.0,1
237,1,510.81,5.0,1,10.0,1
188,1,46.1,1.0,1,27.0,1
59,1,112.32,4.0,1,25.0,1
177,1,335.98,1.0,1,29.0,1
365,1,62.47,1.0,1,12.0,1
224,2,372.62,5.0,2,14.0,1
187,1,129.92,4.0,1,16.0,1
249,1,63.6,5.0,1,5.0,1
474,1,192.55,5.0,1,5.0,1
58,1,192.69,4.0,1,6.0,1
211,1,414.45,5.0,1,8.0,1
183,1,66.5,5.0,1,34.0,1
59,1,80.56,4.0,1,13.0,1
434,1,115.9,3.0,1,10.0,1
136,1,631.71,3.0,1,37.0,1
82,1,242.59,4.0,1,18.0,1
23,1,138.52,4.0,1,15.0,1
15,1,51.42,5.0,1,5.0,1
186,1,96.8,5.0,1,2.0,1
14,1,28.03,5.0,1,19.0,1
101,1,132.05,4.0,0,7.0,1
252,1,166.4,5.0,1,12.0,1
185,1,44.71,2.0,1,3.0,1
93,1,32.38,5.0,1,13.0,1
24,1,23.36,5.0,1,3.0,1
439,1,80.56,5.0,1,9.0,1
330,1,557.62,2.0,1,21.0,1
140,1,361.17,5.0,1,20.0,1
314,1,73.38,5.0,1,18.0,1
0,1,39.16,5.0,1,5.0,1
308,1,84.23,5.0,1,7.0,1
287,1,87.64,5.0,1,19.0,1
598,1,74.74,5.0,1,37.0,1
13,1,21.16,3.0,1,4.0,1
28,1,199.8,5.0,1,6.0,1
218,1,33.0,5.0,1,14.0,1
403,1,231.18,1.0,1,17.0,1
187,1,241.93,1.0,1,34.0,1
19,1,74.41,5.0,1,6.0,1
454,1,70.49,4.0,0,11.0,1
242,1,146.68,4.0,1,11.0,1
406,1,155.39,3.0,1,15.0,1
362,1,108.69,1.0,1,25.0,1
441,1,385.3,1.0,1,12.0,1
197,1,21.77,1.0,1,6.0,1
168,1,58.09,5.0,1,20.0,1
239,1,53.0,3.0,1,13.0,1
434,1,412.4,3.0,1,5.0,1
21,1,157.24,5.0,1,8.0,1
307,1,85.14,3.0,1,11.0,1
55,1,202.31,1.0,1,21.0,1
66,1,179.04,4.0,1,19.0,1
66,1,67.36,3.0,1,22.0,1
400,1,231.18,5.0,1,7.0,1
280,1,167.42,3.0,1,13.0,1
166,1,135.08,4.0,1,23.0,1
233,1,73.15,5.0,1,9.0,1
188,1,394.96,5.0,1,4.0,1
129,1,63.27,5.0,1,8.0,1
450,1,417.19,3.0,1,21.0,1
249,1,180.1,4.0,0,7.0,1
55,1,489.83,4.0,1,10.0,1
139,1,74.94,5.0,0,12.0,1
58,1,47.83,5.0,1,14.0,1
598,1,27.86,2.0,1,20.0,1
173,1,59.69,5.0,1,13.0,1
152,1,218.35,5.0,1,32.0,1
43,1,92.9,5.0,1,6.0,1
476,1,76.25,5.0,1,24.0,1
84,1,181.19,3.0,1,29.0,1
262,1,101.84,1.0,1,23.0,1
241,1,77.66,4.0,1,14.0,1
468,1,36.02,5.0,1,13.0,1
242,1,108.93,5.0,1,10.0,1
259,1,191.99,4.0,1,10.0,1
321,1,1172.26,5.0,1,13.0,1
294,1,57.82,5.0,1,10.0,1
136,1,150.17,5.0,1,4.0,1
62,1,24.37,4.0,1,14.0,1
72,1,110.17,5.0,2,3.0,1
99,1,43.59,4.0,1,13.0,1
70,1,54.23,5.0,1,21.0,1
229,1,108.77,3.0,1,12.0,1
191,1,77.57,5.0,1,17.0,1
82,1,99.43,1.0,1,23.0,1
98,1,26.68,5.0,1,6.0,1
105,1,43.47,5.0,1,8.0,1
236,1,98.22,5.0,1,8.0,1
302,1,112.13,4.0,1,8.0,1
487,1,147.9,5.0,1,3.0,1
334,1,92.05,5.0,1,9.0,1
86,1,82.03,2.0,1,36.0,1
80,1,164.98,1.0,1,56.0,1
429,1,120.97,1.0,1,14.0,1
168,1,79.17,4.0,1,5.0,1
185,1,200.68,5.0,1,21.0,1
177,1,73.03,4.0,1,3.0,1
39,1,83.75,2.0,1,11.0,1
22,2,187.17000000000002,5.0,2,15.0,1
323,1,231.27,4.0,1,11.0,1
138,1,49.4,5.0,1,17.0,1
15,1,827.3,3.0,1,15.0,1
343,2,431.97,4.0,2,16.5,1
108,1,161.69,4.0,1,31.0,1
45,1,355.98,5.0,1,6.0,1
101,1,124.62,4.0,1,1.0,1
299,1,121.24,5.0,1,18.0,1
305,1,67.62,5.0,1,5.0,1
402,1,79.09,5.0,1,10.0,1
374,1,155.37,5.0,0,19.0,1
176,1,39.59,4.0,1,21.0,1
160,1,180.26,5.0,1,13.0,1
141,1,40.0,4.0,1,3.0,1
331,1,72.05,4.0,1,8.0,1
230,1,92.81,5.0,1,10.0,1
137,1,170.53,5.0,1,15.0,1
40,1,112.68,3.0,1,37.0,1
188,1,85.14,4.0,1,14.0,1
72,1,58.83,5.0,0,14.0,1
95,1,26.73,5.0,1,1.0,1
140,1,251.26,4.0,1,17.0,1
238,1,309.07,5.0,1,13.0,1
493,1,374.28,5.0,1,9.0,1
175,1,162.65,4.0,1,4.0,1
85,1,70.77,5.0,1,21.0,1
185,1,69.12,1.0,1,42.0,1
199,1,176.07,1.0,1,28.0,1
15,1,635.75,5.0,1,21.0,1
272,1,111.02,5.0,1,17.0,1
289,1,57.89,5.0,1,6.0,0
200,1,56.63,3.0,1,23.0,1
99,1,204.87,5.0,1,22.0,1
26,1,233.07,4.0,1,16.0,1
16,1,1024.2,4.0,1,31.0,1
139,1,133.05,5.0,1,12.0,1
370,1,31.35,4.0,1,13.0,1
38,1,107.35,5.0,1,3.0,1
9,1,88.22,5.0,1,14.0,1
228,1,854.22,5.0,1,7.0,1
253,1,188.72,5.0,1,7.0,1
433,1,829.74,5.0,1,16.0,1
72,1,27.23,1.0,1,42.0,1
175,2,190.75,3.5,2,14.5,1
416,1,35.86,3.0,1,6.0,1
109,1,1830.9,5.0,1,15.0,1
48,1,67.36,5.0,1,11.0,1
142,1,133.49,1.0,1,13.0,1
188,1,74.36,4.0,1,18.0,1
286,1,114.44,1.0,1,11.0,1
364,1,53.0,3.0,1,8.0,1
85,2,392.28,4.0,2,13.5,1
490,1,110.7,5.0,1,12.0,1
288,1,99.33,5.0,1,8.0,1
58,1,131.62,5.0,0,2.0,1
335,1,261.24,5.0,1,7.0,1
94,1,96.01,4.0,1,20.0,1
179,1,72.54,5.0,1,32.0,1
20,1,59.22,4.0,1,21.0,1
320,1,105.89,4.0,1,13.0,1
137,1,42.58,5.0,1,2.0,1
219,1,50.87,5.0,1,5.0,1
134,1,39.61,5.0,1,20.0,1
172,1,116.36,5.0,1,18.0,1
85,1,154.28,5.0,1,8.0,1
25,1,47.75,5.0,1,33.0,1
49,1,125.97,5.0,1,13.0,1
28,1,46.56,5.0,1,14.0,1
266,1,168.23,5.0,1,17.0,1
147,1,208.08,5.0,1,26.0,1
242,1,1755.21,4.0,1,7.0,1
71,1,86.37,5.0,1,11.0,1
234,1,41.09,5.0,1,8.0,1
384,1,32.09,5.0,1,11.0,1
96,1,156.19,5.0,1,11.0,1
397,1,129.37,5.0,1,15.0,1
65,1,105.63,4.0,1,21.0,1
243,1,69.45,4.0,1,34.0,1
465,1,1290.79,2.0,1,30.0,1
47,1,206.11,5.0,1,9.0,1
89,1,20.75,4.0,1,6.0,1
105,1,68.0,1.0,1,28.0,1
250,1,369.69,5.0,1,10.0,1
141,1,203.57,5.0,1,12.0,1
69,1,1040.35,3.0,1,33.0,1
386,1,120.30000000000001,5.0,1,12.0,1
355,1,142.96,4.0,1,15.0,1
77,1,164.51,5.0,1,4.0,1
2,1,42.79,5.0,1,10.0,1
87,1,73.2,1.0,1,18.0,1
277,1,171.02,5.0,1,5.0,1
136,1,377.27,4.0,1,39.0,1
171,1,155.03,2.0,2,15.0,1
108,1,110.91,5.0,1,10.0,1
501,2,338.46,5.0,2,11.0,1
52,1,245.57,5.0,1,4.0,1
214,1,156.36,5.0,1,8.0,1
457,1,71.71,5.0,1,12.0,1
11,1,71.56,3.0,1,2.0,1
241,1,69.41,5.0,1,8.0,1
136,1,36.84,3.0,1,38.0,1
259,1,142.23,4.0,1,6.0,1
181,1,44.69,5.0,1,16.0,1
327,1,30.49,5.0,1,6.0,1
405,1,130.02,4.0,1,10.0,1
187,1,65.62,2.0,1,35.0,1
120,1,21.43,5.0,1,2.0,0
188,1,42.0,4.0,1,19.0,1
250,1,83.59,4.0,1,11.0,1
233,1,223.82,5.0,1,21.0,1
54,1,69.31,5.0,1,8.0,1
206,1,126.92,5.0,1,3.0,1
302,1,52.77,5.0,1,5.0,1
246,1,56.13,4.0,1,5.0,1
233,1,200.93,1.0,1,12.0,1
87,1,23.82,4.0,1,14.0,1
163,1,72.14,5.0,1,7.0,1
50,1,283.62,1.0,1,62.0,1
176,1,24.69,5.0,1,11.0,1
15,1,149.65,5.0,1,17.0,1
188,1,127.92,3.0,1,12.0,1
293,1,217.02,3.0,1,7.0,1
44,1,147.36,5.0,1,14.0,1
338,1,50.5,3.0,1,5.0,1
25,1,182.34,3.0,1,3.0,1
133,1,154.36,1.0,1,13.0,1
228,1,68.02,5.0,1,8.0,1
195,1,168.2,5.0,1,16.0,1
170,1,56.78,5.0,1,3.0,1
454,1,610.59,4.0,1,16.0,1
36,1,227.47,3.0,1,13.0,1
384,1,77.66,5.0,1,10.0,1
447,1,186.61,5.0,1,11.0,1
136,1,180.36,5.0,1,14.0,1
169,1,27.78,5.0,0,6.0,1
234,1,47.72,2.0,1,17.0,1
269,1,137.99,4.0,1,15.0,1
180,1,503.68,3.0,1,6.0,1
188,1,66.67,5.0,1,24.0,1
43,1,81.5,5.0,1,8.0,1
182,1,85.54,4.0,1,9.0,1
188,1,206.92,1.0,1,26.0,1
73,1,1672.06,5.0,1,7.0,1
349,1,126.22,4.0,1,11.0,1
25,1,339.09,5.0,1,8.0,1
260,1,216.83,5.0,1,12.0,1
375,1,68.3,3.0,1,15.0,1
129,1,46.78,4.0,1,12.0,0
20,1,162.16,3.0,1,11.0,1
217,1,51.09,5.0,1,8.0,1
104,1,103.14,5.0,1,7.0,1
411,1,864.6,5.0,0,17.0,1
470,1,86.81,5.0,1,6.0,1
23,1,51.79,5.0,1,3.0,1
358,1,38.11,5.0,1,12.0,1
128,1,472.41,5.0,1,7.0,1
185,1,175.87,5.0,1,17.0,1
207,1,91.1,2.0,2,12.0,1
358,1,103.55,4.0,1,13.0,1
43,1,57.89,5.0,1,1.0,1
68,1,76.97,5.0,1,10.0,1
326,1,119.45,5.0,1,7.0,1
45,1,94.56,5.0,1,7.0,1
81,1,167.92,4.0,1,10.0,1
86,1,1736.3,4.0,1,10.0,1
186,1,98.81,2.0,1,41.0,1
61,1,126.96,5.0,1,16.0,1
143,1,51.38,4.0,1,14.0,1
64,1,89.91,5.0,1,9.0,1
137,1,97.02,4.0,1,22.0,1
112,1,56.37,5.0,1,12.0,1
179,1,282.65,1.0,0,31.0,1
125,1,167.2,5.0,1,19.0,1
77,1,126.94,5.0,1,48.0,1
410,1,306.35,5.0,1,16.0,1
133,2,315.67,5.0,2,9.5,1
121,1,385.52,5.0,1,7.0,1
23,1,37.54,5.0,1,1.0,1
288,1,161.06,5.0,1,5.0,1
189,1,132.13,5.0,1,25.0,1
108,1,37.77,5.0,1,11.0,1
106,2,278.01,3.0,2,14.5,1
31,1,288.46,1.0,1,9.0,1
282,1,40.78,5.0,1,2.0,1
63,1,377.56,3.0,1,25.0,1
42,1,54.75,5.0,1,20.0,1
71,1,62.88,5.0,1,20.0,1
178,1,212.8,5.0,1,8.0,1
14,1,377.07,5.0,1,8.0,1
203,1,71.04,4.0,1,14.0,1
162,1,93.3,3.0,1,20.0,1
179,1,217.15,5.0,1,16.0,1
71,1,60.32,5.0,1,16.0,1
36,1,27.29,5.0,1,2.0,1
107,1,63.27,4.0,1,6.0,1
266,1,73.34,4.0,1,12.0,1
142,1,38.9,3.0,1,15.0,1
445,1,331.8,5.0,1,18.0,1
433,1,192.56,5.0,1,10.0,1
46,1,139.71,5.0,1,12.0,1
436,1,113.18,2.0,1,10.0,1
128,2,222.35,5.0,2,13.5,1
200,1,193.46,4.0,1,9.0,1
462,1,68.84,4.0,1,11.0,1
214,1,193.96,5.0,1,13.0,1
225,1,90.88,5.0,1,13.0,1
293,1,123.0,1.0,1,11.0,1
91,1,58.64,5.0,1,4.0,1
77,1,37.78,5.0,1,7.0,1
35,1,159.36,5.0,1,7.0,1
361,1,300.83,5.0,1,2.0,1
328,1,253.87,5.0,1,18.0,1
231,1,208.55,5.0,1,6.0,1
416,1,367.63,5.0,1,16.0,1
177,1,134.18,1.0,1,15.0,1
98,1,309.22,4.0,1,23.0,1
217,1,105.38,5.0,1,8.0,1
316,2,125.64,3.0,2,6.0,1
217,1,61.01,5.0,1,8.0,1
202,1,156.75,5.0,1,18.0,1
15,1,117.38,4.0,1,18.0,1
135,1,72.57,3.0,1,20.0,1
340,1,111.02,5.0,1,11.0,1
81,1,68.13,2.0,1,9.0,1
205,1,79.81,5.0,1,8.0,1
107,1,135.0,4.0,1,13.0,1
182,1,141.32,4.0,1,27.0,1
154,1,60.0,5.0,1,8.0,1
10,1,157.78,1.0,1,23.0,1
309,1,85.14,5.0,1,9.0,1
16,1,213.73,5.0,1,3.0,1
157,1,102.87,4.0,1,10.0,1
121,1,65.0,5.0,1,22.0,1
253,1,159.03,1.0,1,20.0,1
249,1,358.44,5.0,1,11.0,1
107,2,203.76999999999998,5.0,2,9.0,1
287,1,147.45,5.0,1,11.0,1
57,1,92.36,5.0,1,2.0,1
96,1,125.06,5.0,1,6.0,1
113,1,40.09,4.0,1,19.0,1
13,1,27.38,5.0,1,12.0,1
149,1,82.92,3.0,1,6.0,1
122,1,415.78,4.0,1,17.0,1
325,1,27.69,3.0,1,14.0,1
170,1,44.08,5.0,1,1.0,1
160,1,46.0,5.0,1,19.0,1
244,1,67.76,5.0,1,14.0,1
98,1,123.47,5.0,1,33.0,1
198,1,69.24,5.0,1,11.0,1
79,1,177.14,5.0,1,14.0,1
235,1,55.7,5.0,1,4.0,1
247,1,104.28,5.0,1,15.0,1
172,1,207.15,3.0,1,11.0,1
16,1,756.63,5.0,1,7.0,1
167,1,245.35,5.0,1,7.0,1
355,1,56.69,3.0,1,14.0,1
414,1,212.73,5.0,1,10.0,1
39,1,382.27,3.0,2,12.0,1
300,1,42.8,5.0,1,6.0,1
297,1,50.09,5.0,1,14.0,1
51,1,114.68,5.0,1,4.0,1
42,1,87.32,1.0,1,5.0,1
400,1,81.96,1.0,1,16.0,1
75,1,142.41,4.0,1,20.0,1
14,1,89.52,5.0,1,15.0,1
129,1,163.77,5.0,1,10.0,1
104,1,102.74,5.0,1,13.0,1
297,1,163.48,5.0,1,7.0,1
168,1,515.44,5.0,1,8.0,1
330,1,81.89,4.0,1,7.0,1
191,1,134.76,5.0,1,3.0,1
413,1,45.04,2.0,1,22.0,1
90,1,541.08,1.0,1,11.0,1
44,1,269.44,5.0,1,3.0,1
91,1,65.0,5.0,1,14.0,1
210,1,167.41,4.0,1,17.0,1
346,1,2035.86,1.0,1,39.0,1
276,1,93.48,4.0,1,6.0,1
13,1,127.69,5.0,1,5.0,1
55,2,102.31,5.0,2,4.5,1
291,1,112.51,3.0,1,22.0,1
301,1,114.52,5.0,1,4.0,1
174,1,63.74,4.0,1,3.0,1
318,1,61.05,3.0,1,8.0,1
395,1,60.99,5.0,1,11.0,1
196,1,106.16,5.0,1,7.0,1
274,1,93.3,4.0,1,9.0,1
252,1,335.47,1.0,1,25.0,1
295,1,116.94,5.0,1,7.0,1
168,1,796.02,3.0,1,35.0,1
415,1,54.42,5.0,1,5.0,1
297,1,215.01,5.0,1,1.0,1
29,1,61.87,1.5,1,4.0,1
311,1,80.2,5.0,1,11.0,1
256,1,228.8,4.0,1,16.0,1
243,1,38.0,5.0,1,5.0,1
392,1,72.02,4.0,1,18.0,1
60,1,371.14,2.0,1,31.0,1
112,1,271.9,2.0,1,47.0,1
170,1,158.22,5.0,1,17.0,1
145,1,912.55,5.0,1,4.0,1
59,1,233.83,4.0,1,14.0,1
202,1,30.09,5.0,1,17.0,1
300,1,553.47,4.0,1,18.0,1
60,1,35.77,4.0,1,2.0,1
21,1,33.12,5.0,1,8.0,1
11,1,224.82,5.0,1,15.0,1
101,1,53.0,4.0,1,15.0,1
16,1,132.68,5.0,1,1.0,1
46,1,38.13,5.0,1,10.0,1
46,1,27.29,5.0,1,4.0,1
63,1,129.64,4.0,1,25.0,1
365,1,1061.52,5.0,1,7.0,1
35,1,70.97,4.0,1,29.0,1
87,2,292.37,3.5,2,29.0,1
202,1,141.73,5.0,1,7.0,1
385,1,236.28,4.0,1,12.0,1
85,1,292.59,5.0,1,33.0,1
476,1,133.05,3.0,1,14.0,1
23,1,69.9,5.0,1,11.0,1
496,1,231.42,5.0,1,7.0,1
119,1,65.71,4.0,1,3.0,1
177,1,266.5,5.0,1,23.0,1
97,1,62.28,5.0,1,21.0,1
267,1,89.95,1.0,1,33.0,1
53,1,100.46,5.0,1,4.0,1
439,1,123.03,5.0,1,11.0,1
49,1,164.61,4.0,1,20.0,1
105,1,76.98,5.0,1,18.0,1
67,1,68.19,4.0,1,7.0,1
330,1,202.82,5.0,1,6.0,1
118,1,96.98,1.0,1,35.0,1
272,1,55.0,4.0,1,12.0,1
171,1,73.84,2.0,1,23.0,1
108,1,118.98,3.0,1,9.0,1
99,1,729.17,4.0,1,26.0,1
215,1,190.43,5.0,1,10.0,1
21,1,128.06,5.0,1,6.0,1
137,1,78.09,4.0,1,17.0,1
41,1,385.02,4.0,1,14.0,1
255,1,103.55,5.0,1,4.0,1
69,1,21.94,4.0,1,5.0,1
129,1,30.44,4.0,1,10.0,1
71,1,56.43,5.0,1,6.0,1
45,1,28.38,5.0,1,1.0,1
79,1,29.38,4.0,1,6.0,1
98,1,157.51,1.0,1,27.0,1
434,1,34.04,4.0,0,6.0,1
355,1,85.34,4.0,1,14.0,1
287,1,34.75,5.0,1,8.0,1
17,1,204.81,5.0,0,6.0,1
151,1,106.87,4.0,1,22.0,1
317,1,62.17,5.0,1,2.0,1
247,1,601.3,5.0,1,9.0,1
181,1,100.34,5.0,1,6.0,1
186,1,596.27,5.0,1,17.0,1
312,1,206.96,5.0,1,7.0,1
321,1,116.74,5.0,1,13.0,1
58,1,149.39,5.0,1,9.0,1
318,1,45.0,5.0,1,7.0,1
249,1,76.72,5.0,1,4.0,1
307,1,40.42,5.0,1,7.0,1
416,1,96.1,5.0,1,8.0,1
86,2,248.13,2.0,2,25.0,1
250,1,368.92,4.0,1,28.0,1
240,1,319.11,5.0,1,10.0,1
87,1,173.23,5.0,1,28.0,1
173,1,232.72,4.0,1,7.0,1
131,1,56.16,5.0,1,4.0,1
23,2,1529.2600000000002,5.0,2,8.0,1
288,1,77.57,5.0,1,15.0,1
229,1,230.6,3.0,1,13.0,1
324,1,85.05,4.0,1,15.0,1
186,1,525.85,5.0,1,23.0,1
32,1,159.93,5.0,1,11.0,1
127,1,300.12,4.0,1,2.0,1
129,1,45.0,3.0,1,16.0,1
446,1,89.07,5.0,1,11.0,1
190,1,65.71,1.0,1,5.0,1
76,1,37.61,3.0,1,8.0,1
92,1,1222.15,5.0,1,16.0,1
53,1,738.91,5.0,1,9.0,1
128,1,86.95,5.0,1,23.0,1
161,1,176.16,4.0,1,6.0,1
104,1,244.47,4.0,1,4.0,1
276,1,201.06,5.0,1,3.0,1
142,1,117.16,4.0,1,20.0,1
602,1,156.22,5.0,1,7.0,1
24,1,86.94,5.0,1,30.0,1
297,1,138.08,4.0,1,15.0,1
155,1,152.16,5.0,1,12.0,1
133,1,64.0,4.0,1,19.0,1
39,1,60.22,3.0,1,8.0,1
152,1,215.76,5.0,1,9.0,1
54,1,121.45,5.0,1,21.0,1
